Route | Raw kB | Gzip kB
--- | --- | ---
/my-beacon/sleeper-leagues/page | 592 | 169
/tools/on-the-clock/page | 577 | 169
/leagues/[league_id]/trade-ideas/page | 528 | 155
/leagues/[league_id]/page | 486 | 147
/layout | 469 | 138
/leagues/[league_id]/power-pulse/page | 459 | 138
/tools/league-pulse/page | 450 | 133
/tools/faab/page | 447 | 133
/leagues/[league_id]/positional-war/page | 445 | 135
/leagues/[league_id]/lineups/page | 439 | 133
/my-beacon/draft-tracker/[trackerId]/page | 433 | 129
/games/signal-scout/page | 429 | 124
/tools/signal-check/page | 427 | 126
/leagues/[league_id]/teams/[roster_id]/page | 423 | 128
/players/[slug]/page | 423 | 125
/[handle]/page | 420 | 122
/leagues/[league_id]/decisions/page | 418 | 125
/leagues/[league_id]/schedules/[week]/[roster_id]/page | 414 | 126
/tools/beacon-breakdown/page | 410 | 121
/leagues/[league_id]/schedules/page | 406 | 123
/my-beacon/signal/wall/page | 404 | 120
/games/would-you-rather/page | 403 | 118
/leagues/[league_id]/transactions/page | 402 | 122
/tools/manager-pulse/[handle]/page | 401 | 121
/my-beacon/bookmarks/page | 395 | 118
/my-beacon/rankings/[boardId]/page | 392 | 116
/admin/faab/page | 390 | 112
/admin/on-the-clock/page | 383 | 112
/admin/manager-pulse/page | 383 | 112
/my-beacon/signal/showcase/page | 382 | 113
/admin/signal/reactions/page | 381 | 113
/brief/category/[slug]/page | 380 | 114
/brief/player/[slug]/page | 380 | 114
/brief/page | 380 | 114
/brief/tag/[tag]/page | 380 | 114
/brief/team/[abbr]/page | 380 | 114
/brief/[slug]/page | 379 | 114
/my-beacon/layout | 377 | 112
/rankings/[format]/page | 377 | 111
/rankings/page | 377 | 111
/admin/signal-guide/[pageKey]/page | 376 | 110
/admin/signal-scout/settings/page | 376 | 111
/admin/signal-check/rules/page | 376 | 111
/admin/league-relay/page | 374 | 110
/my-beacon/draft-tracker/new/page | 373 | 112
/admin/beacon-brief/articles/page | 373 | 110
/my-beacon/rankings/page | 373 | 111
/my-beacon/signal/identity/page | 373 | 111
/my-beacon/signal/layout/page | 372 | 111
/admin/beacon-brief/filtered/page | 371 | 110
/my-beacon/account/page | 370 | 108
/admin/would-you-rather/page | 370 | 109
/admin/beacon/manual/page | 370 | 109
/admin/signal-check/regression/page | 370 | 109
/admin/power-pulse/page | 367 | 108
/my-beacon/signal/page | 367 | 110
/my-beacon/signal/handle/page | 367 | 110
/admin/beacon-brief/moderation/page | 366 | 109
/admin/beacon/sources/page | 366 | 108
/author/michael/page | 366 | 109
/admin/manager-pulse/cache/page | 366 | 108
/page | 365 | 109
/my-beacon/draft-tracker/page | 364 | 108
/admin/beacon/settings/page | 364 | 108
/admin/beacon/bands/page | 363 | 108
/tools/manager-pulse/page | 363 | 108
/my-beacon/signal/visibility/page | 363 | 108
/donate/page | 363 | 108
/admin/beam/page | 362 | 108
/admin/beam/aliases/page | 361 | 107
/admin/beacon/weights/page | 361 | 107
/admin/beacon-brief/sources/page | 361 | 107
/admin/signal-guide/submissions/page | 361 | 107
/admin/beacon-brief/categories/page | 361 | 107
/about/page | 361 | 107
/admin/beacon/calibration/page | 360 | 107
/admin/beacon-brief/settings/page | 360 | 106
/admin/signal-scout/users/page | 359 | 107
/admin/beam/requests/page | 359 | 106
/admin/draft-value/page | 359 | 106
/admin/beacon/runs/page | 358 | 107
/admin/beacon/rankings/page | 358 | 107
/admin/signal-scout/players/page | 357 | 106
/tools/page | 357 | 106
/admin/signal-check/page | 357 | 106
/my-beacon/profile/page | 357 | 105
/admin/beacon-brief/logs/page | 356 | 106
/error | 355 | 106
/tools/signal-check/v/[shareId]/page | 355 | 106
/admin/page | 355 | 105
/admin/beacon-brief/page | 354 | 105
/admin/signal/reports/page | 354 | 104
/admin/manager-pulse/runs/page | 354 | 105
/guides/fantasy-football-draft-guide/page | 354 | 105
/admin/signal-scout/page | 354 | 105
/games/would-you-rather/error | 354 | 105
/admin/manager-pulse/observations/page | 354 | 105
/admin/manager-pulse/queue/page | 354 | 105
/games/signal-scout/error | 354 | 105
/login/page | 354 | 104
/admin/signal-scout/integrity/page | 354 | 105
/[handle]/rankings/[boardId]/page | 352 | 104
/donate/thanks/page | 352 | 104
/join/page | 352 | 104
/leagues/[league_id]/not-found | 352 | 104
/privacy/page | 352 | 104
/terms/page | 352 | 104
/admin/beacon/page | 352 | 104
/admin/beam/gaps/page | 352 | 104
/admin/crons/page | 352 | 104
/admin/projections/page | 352 | 104
/admin/signal-guide/page | 352 | 104
/admin/signal/page | 352 | 104
/admin/system/page | 352 | 104
/my-beacon/page | 352 | 104
/games/page | 352 | 104
/guides/fantasy-football-terms/page | 352 | 104
/guides/page | 352 | 104
/admin/system/webhooks/page | 349 | 102
/_not-found/page | 346 | 102
/global-error | 346 | 102
/brief/loading | 344 | 101
/leagues/loading | 344 | 101
/rankings/loading | 344 | 101
/tools/loading | 344 | 101
/games/signal-scout/loading | 344 | 101
/games/would-you-rather/loading | 344 | 101
/api/breakdown/search/route | 344 | 101
/api/guide/[pageKey]/route | 344 | 101
/api/leagues/[league_id]/refresh/route | 344 | 101
/api/guide/viewer/route | 344 | 101
/api/leagues/[league_id]/sync/route | 344 | 101
/api/leagues/[league_id]/warm/route | 344 | 101
/api/players/search/route | 344 | 101
/api/rankings/import/route | 344 | 101
/api/search/route | 344 | 101
/api/signal-check/search/route | 344 | 101
/auth/signout/route | 344 | 101
/auth/callback/route | 344 | 101
/robots.txt/route | 344 | 101
/api/admin/signal/reaction-emoji/route | 344 | 101
/api/cron/beacon-brief-worker/route | 344 | 101
/api/beam/ask/route | 344 | 101
/api/cron/beacon-brief/route | 344 | 101
/api/cron/beacon-reference-rebuild/route | 344 | 101
/api/cron/build-beacon-projections/route | 344 | 101
/api/cron/beacon-reference-drift/route | 344 | 101
/api/cron/league-relay/route | 344 | 101
/api/beam/learn/route | 344 | 101
/api/cron/recalculate-beacon/route | 344 | 101
/api/cron/rebuild-draft-value/route | 344 | 101
/api/cron/cron-health/route | 344 | 101
/api/cron/sync-dynastyprocess/route | 344 | 101
/api/cron/league-sync-worker/route | 344 | 101
/api/cron/sync-ktc/route | 344 | 101
/api/cron/sync-fantasycalc/route | 344 | 101
/api/cron/sync-nfl-odds/route | 344 | 101
/api/cron/sync-sleeper-players/route | 344 | 101
/api/cron/sync-sleeper-market/route | 344 | 101
/api/cron/sync-weekly-projections/route | 344 | 101
/api/discord/membership/route | 344 | 101
/api/cron/sync-sleeper-stats/route | 344 | 101
/api/cron/would-you-rather-discord/route | 344 | 101
/api/cron/recalculate-derived/route | 344 | 101
/api/games/signal-scout/me/stats/route | 344 | 101
/api/games/signal-scout/leaderboards/route | 344 | 101
/api/donate/checkout/route | 344 | 101
/api/games/signal-scout/round/[id]/guess/route | 344 | 101
/api/games/signal-scout/round/[id]/route | 344 | 101
/api/games/signal-scout/round/[id]/hint/route | 344 | 101
/api/games/signal-scout/round/[id]/skip/route | 344 | 101
/api/donate/webhook/route | 344 | 101
/api/games/signal-scout/round/route | 344 | 101
/api/games/signal-scout/search/route | 344 | 101
/api/games/would-you-rather/next/route | 344 | 101
/api/games/would-you-rather/vote/route | 344 | 101
/api/manager-pulse/runs/[run_id]/report/route | 344 | 101
/api/leagues/bulk-sync/route | 344 | 101
/api/guide/submit/route | 344 | 101
/api/manager-pulse/runs/[run_id]/route | 344 | 101
/api/og/join/route | 344 | 101
/api/og/guide/[slug]/route | 344 | 101
/api/og/brief/[slug]/route | 344 | 101
/api/og/league/[league_id]/route | 344 | 101
/api/og/page/[key]/route | 344 | 101
/api/og/breakdown/[a]/[b]/route | 344 | 101
/api/og/matchup/[league_id]/[week]/[roster_id]/route | 344 | 101
